Master Bathroom,axe,weapon,The axe is rusty and and stained with blood.,shower,Master Bedroom,null,null,null,You have arrived at a gloomy and dirty bathroom. There is mildew on the walls and water dripping from the faucet. On your right is a door outside to a bedroom.,Game/Icons/masterbathroom.jpg,Game/maps/masterbathroom.jpg,null,null,null,null,null,Game/Icons/axe.png,null
Master Bedroom,paper,paper,From Sarah adams: if anyone reads this - I left some medical supplies in the Theater when I was running from the monster. ,bed,Floor Two Hall,Master Bathroom,Study,null,In front of you is a huge bed. Lights are not properly lit and visibility is low. You can hear a howling wind and windows are not closed properly. As you are looking around the room - you see three doors.These doors are the way out to Floor Two Hall -  Master Bathroom and Study.,Game/Icons/masterbedroom.jpg,Game/maps/masterbedroom.jpg,null,null,null,null,null,null,null
Study,map,paper,This looks like the floor plans for the Manision. Could be useful in getting around,desk,Bedroom Two,null,null,Master Bedroom,As soon as you stepped inside this room you kicked something. When you looked down - you see a very old hard covered - deckle edged - tanned vintage book. There are books all over the place and,Game/Icons/study.jpg,Game/maps/study.jpg,null,null,null,null,null,Game/Icons/map.png,null
Bedroom Two,null,weapon,itemDescription,null,Bathroom Two,Study,null,Floor Two Hall,You arrive in a small bedroom filled with eery shadows - and in of those shadows you see a cage. Inside that cage is an old man sleeping. His arms and legs all chained to the cage.,Game/Icons/bedroomTwo.jpg,Game/maps/bedroomTwo.jpg,null,cake,Hearing your footsteps the old man wakes up and opens his eyes. Well. Well. look what we have here. Another potential meal for that monster. Young one. You only have a slim chance of escaping that evil monster. I am locked up and have no chance of escaping. Go to the kitchen and bring me some delicious food. And I will give you a hint that will help you in escaping from the cursed building.,Thank you for bringing some of this delicious cake. For having taken this risk upon yourself I will give you this advice. Go down to the basement level. In one of those rooms you will find some cutters that will help you open some doors throughout this building. Finding those cutters is your only way to escape. Now go!!!!!!,null,null,null
Floor Two Hall,null,food,itemDescription,null,Bathroom Two,Master Bedroom,Bedroom Two,Theater,Second floor hall.  You opened up the door and you feel a sudden chill swept through your bones. You can see your breath every exhale sent forth a small cloud. You see a long endless hallway. After walking for a bit you see a small service elevator and stairs.,Game/Icons/FloorTwohallway.jpg,Game/maps/FloorTwohallway.jpg,Main Hall,null,null,null,null,null,Storage
Bathroom Two,null,weapon,itemDescription,bed,null,Bedroom Two,null,Floor Two Hall,You have enter a room that has a lot flies around and smells like you have ever smelled before.,Game/Icons/bathroomTwo.jpg,Game/maps/bathroomTwo.jpg,null,null,null,null,null,null,null
Theater,health pack,health,A first-Aid pack. Can be useful in restoring health and curing injuires,cabinet,null,null,Floor Two Hall,null,Arriving in the theater room you see nothing but chairs lined and big screen up against the wall. The screen has large crack right in the middle like some monster banged into it.,Game/Icons/theater.jpg,Game/maps/theater.jpg,null,null,null,null,null,Game/Icons/healthpack.png,null
Main Hall,null,weapon,itemDescription,null,Dining Room,null,Bathroom Three,Library,This is the main hall.  The front door is chained blocking your escape.  There are stairs leading up.,Game/Icons/mainhall.jpg,Game/maps/mainhall.jpg,Floor Two Hall,null,null,null,escape,null,null
Bathroom Three,null,weapon,itemDescription,linen closet,Kitchen,null,null,Main Hall, You find another bathroom on this level - you don't see anything useful.,Game/Icons/bathroomThree.jpg,Game/maps/bathroomThree.jpg,null,null,null,null,null,null,null
Library,book,book,"There is a note in the book that reads ""I left my gun in the Parlor""",bookcase,Parlor,null,Main Hall,null,You arrive in a room filled books stacked on shelves. this room is too quiet and eery. The only sound is a clock - with every second the ticking noising ringing in your ear. You see a desk at the middle with a book laying on top.,Game/Icons/library.jpg,Game/maps/library.jpg,null,null,null,null,null,null,null
